
17:33:25 CO   2: 4e 01
17:33:26 CI   3: de 01 00
17:33:26 CI  11: df 14 19 0a c4 15 21 94 82 ce 86
17:33:26 CI  11: df 14 19 0a c4 15 21 95 82 ce 87
17:33:26 CI  11: df 14 19 0a c4 15 21 95 82 ce 88
17:33:27 CI  11: df 14 19 0a c4 15 21 95 82 ce 89
17:33:27 CI  11: df 14 19 0a c4 15 21 96 82 ce 8a
17:33:28 CI  11: df 14 19 0a c4 15 21 96 82 ce 8b
17:33:28 CI  11: df 14 19 0a c4 15 21 97 82 ce 8c
17:33:28 CI  11: df 14 19 0a c4 15 21 97 82 ce 8d
17:33:29 CI  11: df 14 19 0a c4 15 21 98 82 ce 8e
17:33:29 CI  11: df 14 19 0a c4 15 21 98 82 ce 8f
17:33:30 CI  11: df 14 19 0a c4 15 21 98 82 ce 90
17:33:30 CI  11: df 14 19 0a c4 15 21 99 82 ce 91
17:33:31 CI  11: df 14 19 0a c4 15 21 99 82 ce 92
17:33:31 CI  11: df 14 19 0a c4 15 21 9a 82 ce 93
17:33:32 CI  11: df 14 19 0a c4 15 21 9a 82 ce 94
17:33:32 CI  11: df 14 19 0a c4 15 21 9b 82 ce 95
17:33:32 CI  11: df 14 19 0a c4 15 21 9b 82 ce 96
17:33:33 CI  11: df 14 19 0a c4 15 21 9b 82 ce 97
17:33:33 CI  11: df 14 19 0a c4 15 21 9c 82 ce 98
17:33:34 CI  11: df 14 19 0a c4 15 21 9c 82 ce 99
17:33:34 CI  11: df 14 19 0a c4 15 21 9d 82 ce 9a
17:33:35 CI  11: df 14 19 0a c4 15 21 9d 82 ce 9b
17:33:35 CI  11: df 14 19 0a c4 15 21 9e 82 ce 9c
17:33:35 CI  11: df 14 19 0a c4 15 21 9e 82 ce 9d
17:33:36 CI  11: df 14 19 0a c4 15 21 9e 82 ce 9e
17:33:36 CI  11: df 14 19 0a c4 15 21 9f 82 ce 9f
17:33:37 CI  11: df 14 19 0a c4 15 21 9f 82 ce a0
17:33:37 CI  11: df 14 19 0a c4 15 21 a0 82 ce a1
17:33:38 CI  11: df 14 19 0a c4 15 21 a0 82 ce a2
17:33:38 CI  11: df 14 19 0a c4 15 21 a1 82 ce a3
17:33:38 CI  11: df 14 19 0a c4 15 21 a1 82 ce a4
17:33:39 CI  11: df 14 19 0a c4 15 21 a1 82 ce a5
17:33:39 CI  11: df 14 19 0a c4 15 21 a2 82 ce a6
17:33:40 CI  11: df 14 19 0a c4 15 21 a2 82 ce a7
17:33:40 CI  11: df 14 19 0a c4 15 21 a3 82 ce a8
17:33:41 CI  11: df 14 19 0a c4 15 21 a3 82 ce a9
17:33:41 CI  11: df 14 19 0a c4 15 21 a4 82 ce aa
17:33:41 CI  11: df 14 19 0a c4 15 21 a4 82 ce ab
17:33:42 CI  11: df 14 19 0a c4 15 21 a5 82 ce ac
17:33:42 CI  11: df 14 19 0a c4 15 21 a5 82 ce ad
17:33:43 CI  11: df 14 19 0a c4 15 21 a6 82 ce af
17:33:44 CI  11: df 14 19 0a c4 15 21 a6 82 ce b0
17:33:44 CI  11: df 14 19 0a c4 15 21 a7 82 ce b1
17:33:44 CI  11: df 14 19 0a c4 15 21 a7 82 ce b2
17:33:45 CI  11: df 14 19 0a c4 15 21 a8 82 ce b3
17:33:45 CI  11: df 14 19 0a c4 15 21 a8 82 ce b4
17:33:46 CI  11: df 14 19 0a c4 15 21 a8 82 ce b5
17:33:46 CI  11: df 14 19 0a c4 15 21 a9 82 ce b6
17:33:47 CI  11: df 14 19 0a c4 15 21 a9 82 ce b7
17:33:47 CI  11: df 14 19 0a c4 15 21 aa 82 ce b8
17:33:47 CI  11: df 14 19 0a c4 15 21 aa 82 ce b9
17:33:48 CI  11: df 14 19 0a c4 15 21 ab 82 ce ba
17:33:48 CI  11: df 14 19 0a c4 15 21 ab 82 ce bb
17:33:49 CI  11: df 14 19 0a c4 15 21 ab 82 ce bc
17:33:49 CI  11: df 14 19 0a c4 15 21 ac 82 ce bd
17:33:50 CI  11: df 14 19 0a c4 15 21 ac 82 ce be
17:33:50 CI  11: df 14 19 0a c4 15 21 ad 82 ce bf
17:33:50 CI  11: df 14 19 0a c4 15 21 ad 82 ce c0
17:33:51 CI  11: df 14 19 0a c4 15 21 ae 82 ce c1
17:33:51 CI  11: df 14 19 0a c4 15 21 ae 82 ce c2
17:33:52 CI  11: df 14 19 0a c4 15 21 ae 82 ce c3
17:33:52 CI  11: df 14 19 0a c4 15 21 af 82 ce c4
17:33:53 CI  11: df 14 19 0a c4 15 21 af 82 ce c5
17:33:53 CI  11: df 14 19 0a c4 15 21 b0 82 ce c6
17:33:53 CI  11: df 14 19 0a c4 15 21 b0 82 ce c7
17:33:54 CI  11: df 14 19 0a c4 15 21 b1 82 ce c8
17:33:54 CI  11: df 14 19 0a c4 15 21 b1 82 ce c9
17:33:55 CI  11: df 14 19 0a c4 15 21 b1 82 ce ca
17:33:55 CI  11: df 14 19 0a c4 15 21 b2 82 ce cb
17:33:56 CI  11: df 14 19 0a c4 15 21 b2 82 ce cc
17:33:56 CI  11: df 14 19 0a c4 15 21 b3 82 ce cd
17:33:56 CI  11: df 14 19 0a c4 15 21 b3 82 ce ce
17:33:57 CI  11: df 14 19 0a c4 15 21 b4 82 ce cf
17:33:57 CI  11: df 14 19 0a c4 15 21 b4 82 ce d0
17:33:58 CI  11: df 14 19 0a c4 15 21 b4 82 ce d1
17:33:58 CI  11: df 14 19 0a c4 15 21 b5 82 ce d2
17:33:59 CI  11: df 14 19 0a c4 15 21 b5 82 ce d3
17:33:59 CI  11: df 14 19 0a c4 15 21 b6 82 ce d4
17:34:00 CI  11: df 14 19 0a c4 15 21 b6 82 ce d5
17:34:00 CI  11: df 14 19 0a c4 15 21 b7 82 ce d6
17:34:00 CI  11: df 14 19 0a c4 15 21 b7 82 ce d7
17:34:01 CI  11: df 14 19 0a c4 15 21 b8 82 ce d8
17:34:01 CI  11: df 14 19 0a c4 15 21 b8 82 ce d9
17:34:02 CI  11: df 14 19 0a c4 15 21 b8 82 ce da
17:34:02 CI  11: df 14 19 0a c4 15 21 b9 82 ce db
17:34:03 CI  11: df 14 19 0a c4 15 21 b9 82 ce dc
17:34:03 CI  11: df 14 19 0a c4 15 21 ba 82 ce dd
17:34:03 CI  11: df 14 19 0a c4 15 21 ba 82 ce de
17:34:04 CI  11: df 14 19 0a c4 15 21 bb 82 ce df
17:34:04 CI  11: df 14 19 0a c4 15 21 bb 82 ce e0
17:34:05 CI  11: df 14 19 0a c4 15 21 bb 82 ce e1
17:34:05 CI  11: df 14 19 0a c4 15 22 80 82 ce e2
17:34:06 CI  11: df 14 19 0a c4 15 22 80 82 ce e3
17:34:06 CI  11: df 14 19 0a c4 15 22 81 82 ce e4
17:34:06 CI  11: df 14 19 0a c4 15 22 81 82 ce e5
17:34:07 CI  11: df 14 19 0a c4 15 22 82 82 ce e6
17:34:07 CI  11: df 14 19 0a c4 15 22 82 82 ce e7
17:34:08 CI  11: df 14 19 0a c4 15 22 82 82 ce e8
17:34:08 CI  11: df 14 19 0a c4 15 22 83 82 ce e9
17:34:09 CI  11: df 14 19 0a c4 15 22 83 82 ce ea
17:34:09 CI  11: df 14 19 0a c4 15 22 84 82 ce eb
17:34:09 CI  11: df 14 19 0a c4 15 22 84 82 ce ec
17:34:10 CI  11: df 14 19 0a c4 15 22 85 82 ce ed
17:34:10 CI  11: df 14 19 0a c4 15 22 85 82 ce ee
17:34:11 CI  11: df 14 19 0a c4 15 22 85 82 ce ef
17:34:11 CI  11: df 14 19 0a c4 15 22 86 82 ce f0
17:34:12 CI  11: df 14 19 0a c4 15 22 86 82 ce f1
17:34:12 CI  11: df 14 19 0a c4 15 22 87 82 ce f2
17:34:13 CI  11: df 14 19 0a c4 15 22 87 82 ce f3
17:34:13 CI  11: df 14 19 0a c4 15 22 88 82 ce f4
17:34:13 CI  11: df 14 19 0a c4 15 22 88 82 ce f5
17:34:14 CI  11: df 14 19 0a c4 15 22 88 82 ce f6
17:34:14 CI  11: df 14 19 0a c4 15 22 89 82 ce f7
17:34:15 CI  11: df 14 19 0a c4 15 22 89 82 ce f8
17:34:15 CI  11: df 14 19 0a c4 15 22 8a 82 ce f9
17:34:16 CI  11: df 14 19 0a c4 15 22 8a 82 ce fa
17:34:16 CI  11: df 14 19 0a c4 15 22 8b 82 ce fb
17:34:16 CI  11: df 14 19 0a c4 15 22 8b 82 ce fc
17:34:17 CI  11: df 14 19 0a c4 15 22 8c 82 cf 00
17:34:17 CI  11: df 14 19 0a c4 15 22 8c 82 cf 01
17:34:18 CI  11: df 14 19 0a c4 15 22 8c 82 cf 02
17:34:18 CI  11: df 14 19 0a c4 15 22 8d 82 cf 03
17:34:19 CI  11: df 14 19 0a c4 15 22 8d 82 cf 04
17:34:19 CI  11: df 14 19 0a c4 15 22 8e 82 cf 05
17:34:19 CI  11: df 14 19 0a c4 15 22 8e 82 cf 06
17:34:20 CI  11: df 14 19 0a c4 15 22 8f 82 cf 07
17:34:20 CI  11: df 14 19 0a c4 15 22 8f 82 cf 08
17:34:21 CI  11: df 14 19 0a c4 15 22 8f 82 cf 09
17:34:21 CI  11: df 14 19 0a c4 15 22 90 82 cf 0a
17:34:22 CI  11: df 14 19 0a c4 15 22 90 82 cf 0b
17:34:22 CI  11: df 14 19 0a c4 15 22 91 82 cf 0c
17:34:22 CI  11: df 14 19 0a c4 15 22 91 82 cf 0d
17:34:23 CI  11: df 14 19 0a c4 15 22 92 82 cf 0e
17:34:23 CI  11: df 14 19 0a c4 15 22 92 82 cf 0f
17:34:24 CI  11: df 14 19 0a c4 15 22 92 82 cf 10
17:34:24 CI  11: df 14 19 0a c4 15 22 93 82 cf 11
17:34:25 CI  11: df 14 19 0a c4 15 22 93 82 cf 12
17:34:25 CI  11: df 14 19 0a c4 15 22 94 82 cf 13
17:34:25 CI  11: df 14 19 0a c4 15 22 94 82 cf 14
17:34:26 CI  11: df 14 19 0a c4 15 22 95 82 cf 15
17:34:26 CI  11: df 14 19 0a c4 15 22 95 82 cf 16
17:34:27 CI  11: df 14 19 0a c4 15 22 95 82 cf 17
17:34:27 CI  11: df 14 19 0a c4 15 22 96 82 cf 18
17:34:28 CI  11: df 14 19 0a c4 15 22 96 82 cf 19
17:34:28 CI  11: df 14 19 0a c4 15 22 97 82 cf 1a
17:34:29 CI  11: df 14 19 0a c4 15 22 97 82 cf 1b
17:34:29 CI  11: df 14 19 0a c4 15 22 98 82 cf 1c
17:34:29 CI  11: df 14 19 0a c4 15 22 98 82 cf 1d
17:34:30 CI  11: df 14 19 0a c4 15 22 98 82 cf 1e
17:34:30 CI  11: df 14 19 0a c4 15 22 99 82 cf 1f
17:34:31 CI  11: df 14 19 0a c4 15 22 99 82 cf 20
17:34:31 CI  11: df 14 19 0a c4 15 22 9a 82 cf 21
17:34:31 CI  11: df 14 19 0a c4 15 22 9a 82 cf 22
17:34:32 CI  11: df 14 19 0a c4 15 22 9b 82 cf 23
17:34:32 CI  11: df 14 19 0a c4 15 22 9b 82 cf 24
17:34:33 CI  11: df 14 19 0a c4 15 22 9b 82 cf 25
17:34:33 CI  11: df 14 19 0a c4 15 22 9c 82 cf 26
17:34:34 CI  11: df 14 19 0a c4 15 22 9c 82 cf 27
17:34:34 CI  11: df 14 19 0a c4 15 22 9d 82 cf 28
17:34:35 CI  11: df 14 19 0a c4 15 22 9d 82 cf 29
17:34:35 CI  11: df 14 19 0a c4 15 22 9e 82 cf 2a
17:34:35 CI  11: df 14 19 0a c4 15 22 9e 82 cf 2b
17:34:36 CI  11: df 14 19 0a c4 15 22 9f 82 cf 2c
17:34:36 CI  11: df 14 19 0a c4 15 22 9f 82 cf 2d
17:34:37 CI  11: df 14 19 0a c4 15 22 9f 82 cf 2e
17:34:37 CI  11: df 14 19 0a c4 15 22 a0 82 cf 2f
17:34:38 CI  11: df 14 19 0a c4 15 22 a0 82 cf 30
17:34:38 CI  11: df 14 19 0a c4 15 22 a1 82 cf 31
17:34:38 CI  11: df 14 19 0a c4 15 22 a1 82 cf 32
17:34:39 CI  11: df 14 19 0a c4 15 22 a2 82 cf 33
17:34:39 CI  11: df 14 19 0a c4 15 22 a2 82 cf 34
17:34:40 CI  11: df 14 19 0a c4 15 22 a2 82 cf 35
17:34:40 CI  11: df 14 19 0a c4 15 22 a3 82 cf 36
17:34:41 CI  11: df 14 19 0a c4 15 22 a3 82 cf 37
17:34:41 CI  11: df 14 19 0a c4 15 22 a4 82 cf 38
17:34:41 CI  11: df 14 19 0a c4 15 22 a4 82 cf 39
17:34:42 CI  11: df 14 19 0a c4 15 22 a5 82 cf 3a
17:34:42 CI  11: df 14 19 0a c4 15 22 a5 82 cf 3b
17:34:43 CI  11: df 14 19 0a c4 15 22 a5 82 cf 3c
17:34:43 CI  11: df 14 19 0a c4 15 22 a6 82 cf 3d
17:34:44 CI  11: df 14 19 0a c4 15 22 a6 82 cf 3e
17:34:44 CI  11: df 14 19 0a c4 15 22 a7 82 cf 3f
